Outline Level,ID,Name,Start,Finish,Duration,Predecessors,Resource Names,Notes,Description Action,Interactions & Communication,Actions Transversales
3,17,"Gap Analysis (Standard Odoo vs TDR)",2025-12-08,2025-12-12,5 day,16FS,"Expert Fonctionnel","<p>Matrice d'écarts.</p>","Lister chaque exigence TDR et définir : Standard / Config / Dev Spécifique.","Interne : Atelier arbitrage technique.","Scope Management"
1,18,"PHASE 2 : PLANIFICATION & SPÉCIFICATIONS",2025-12-15,2026-01-09,20 day,,"Chef de Projet","<p>Conception.</p>","Conception","Interne & Client","Validation"
2,19,"Ateliers de Spécifications (Workshops)",2025-12-15,2025-12-26,10 day,17FS,"Expert Fonctionnel","<p>Co-construction.</p>","Ateliers Métiers","Client","Spécifications"
3,20,"Atelier 1 : Gestion Tiers & Abonnements",2025-12-15,2025-12-16,2 day,,"Expert Fonctionnel","<p>Métier Commercial.</p>","Définir règles : Création client, Contrats, Points de livraison.","Client : Réunion travail.","Métier"
3,21,"Atelier 2 : Facturation & Recouvrement",2025-12-17,2025-12-19,3 day,20FS,"Expert Fonctionnel","<p>Métier Finance.</p>","Définir règles : Cycles de relève, Calculs tranches, Relances, Pénalités.","Client : Réunion travail.","Métier"
3,22,"Atelier 3 : Stocks & Logistique",2025-12-22,2025-12-23,2 day,21FS,"Expert Fonctionnel","<p>Métier Logistique.</p>","Définir règles : Entrées/Sorties compteurs, Multi-dépôts.","Client : Réunion travail.","Métier"
3,23,"Rédaction des User Stories (Backlog)",2025-12-24,2025-12-26,3 day,22FS,"Chef de Projet","<p>Jira/Odoo.</p>","Traduire les besoins en tickets de développement atomiques.","Interne : Validation Tech Lead.","Agile"
2,24,"Rédaction & Validation SFD/STD",2025-12-29,2026-01-09,10 day,23FS,"Chef de Projet","<p>Dossier Projet.</p>","Rédaction","Interne & Client","Documentation"
3,25,"Rédaction SFD (Spécifications Fonctionnelles)",2025-12-29,2026-01-02,5 day,,"Expert Fonctionnel","<p>Word/PDF.</p>","Décrire les écrans, flux, règles de gestion validés.","Interne : Relecture croisée.","Doc"
3,26,"Rédaction STD (Architecture & Sécurité)",2025-12-29,2026-01-02,5 day,,"Architecte","<p>Word/PDF.</p>","Schéma d'architecture, Flux API, Sécurité réseaux.","Interne : Relecture croisée.","Doc"
3,27,"Validation Interne (SM/Qualité)",2026-01-05,2026-01-06,2 day,25FS,26FS,"Sénior Manager","<p>Gate de validation.</p>","Vérifier la cohérence et la qualité des documents avant envoi.","Interne : Signature B.A.T.","Qualité"
3,28,"Validation Client des Spécifications",2026-01-07,2026-01-09,3 day,27FS,"Chef de Projet","<p>Signature PV.</p>","Présenter les documents et obtenir le PV de validation des specs.","Client : Signature PV.","Jalon"
1,29,"PHASE 3 : EXÉCUTION - DÉVELOPPEMENT AGILE",2026-01-12,2026-04-03,60 day,28FS,"Equipe Technique","<p>Sprints.</p>","Réalisation","Interne","Production"
2,30,"Sprint 1 : Socle & Gestion Abonnés",2026-01-12,2026-01-30,15 day,,"Développeurs","<p>Fondations.</p>","Dev Sprint 1","Interne","Dev"
3,31,"Config : LDAP & Droits d'accès",2026-01-12,2026-01-14,3 day,,"Admin Sys","<p>Sécurité.</p>","Connecter Odoo à l'Active Directory, configurer les groupes de sécurité.","Interne","Tech"
3,32,"Dev : Module Tiers Étendu (Abonné)",2026-01-15,2026-01-20,4 day,31FS,"Développeur 1","<p>Python/XML.</p>","Ajouter champs métiers sur res.partner (Zone, Tournée, Ref Abonné).","Interne","Dev"
3,33,"Dev : Gestion des Points de Livraison (PL)",2026-01-15,2026-01-22,6 day,31FS,"Développeur 2","<p>Nouveau Modèle.</p>","Créer objet PL, lien avec Compteur et Abonné. Historique branchement.","Interne","Dev"
3,34,"Test Unitaire & Recette Interne Sprint 1",2026-01-28,2026-01-30,3 day,32FS,33FS,"Tester","<p>Qualité.</p>","Vérifier création abonné, attribution compteur.","Interne : Rapport de test.","Qualité"
3,35,"Revue de Sprint 1 (Démo Client)",2026-01-30,2026-01-30,1 day,34FS,"Chef de Projet","<p>Validation.</p>","Montrer les fonctionnalités finies au client.","Client : PV Recette Partielle.","Agile"
2,36,"Suivi & Contrôle (Mois 3)",2026-01-30,2026-02-06,5 day,,"CP, RQ, RAF","<p>Pilotage.</p>","Suivi Mensuel","Interne","Pilotage"
3,37,"Mise à jour Tableau de Bord & Risques",2026-01-30,2026-02-02,1 day,,"Chef de Projet","<p>KPI.</p>","Actualiser l'avancement, les délais et la météo projet.","Interne","PMO"
3,38,"Tenue du COPIL N°1",2026-02-05,2026-02-05,1 day,37FS,"DG, SM, CP","<p>Décision.</p>","Présenter l'avancement à la DG, valider les arbitrages budgétaires.","Interne : CR COPIL.","Gouvernance"
2,39,"Sprint 2 : Facturation & Paiements",2026-02-09,2026-02-27,15 day,35FS,"Développeurs","<p>Cœur Métier.</p>","Dev Sprint 2","Interne","Dev"
3,40,"Dev : Moteur de calcul (Tranches/Forfaits)",2026-02-09,2026-02-18,8 day,,"Senior Dev","<p>Complexe.</p>","Implémenter l'algorithme de calcul de la facture d'eau (Tranches).","Interne","Dev"
3,41,"Dev : API Mobile Money (Orange/MTN)",2026-02-09,2026-02-20,10 day,,"Integrator","<p>API REST.</p>","Développer les contrôleurs pour recevoir les callbacks de paiement.","Interne","Intégration"
3,42,"Dev : Module Relève & Anomalies",2026-02-19,2026-02-24,4 day,40FS,"Développeur 1","<p>Saisie index.</p>","Vues de saisie de masse des index, détection auto des incohérences.","Interne","Dev"
3,43,"Test Intégration & Recette Interne Sprint 2",2026-02-25,2026-02-26,2 day,41FS,42FS,"Tester","<p>Bout en bout.</p>","Générer une facture, simuler un paiement API, vérifier lettrage.","Interne : Rapport test.","Qualité"
3,44,"Revue de Sprint 2 (Démo Client)",2026-02-27,2026-02-27,1 day,43FS,"Chef de Projet","<p>Validation.</p>","Montrer le cycle Facturation -> Paiement.","Client : PV Recette Partielle.","Agile"
2,45,"Suivi & Contrôle (Mois 4)",2026-02-27,2026-03-06,5 day,,"CP, Admin","<p>Pilotage.</p>","Suivi Mensuel","Interne","Pilotage"
3,46,"Enquête Satisfaction Client Intermédiaire",2026-03-02,2026-03-04,3 day,,"Responsable Qualité","<p>Écoute client.</p>","Appeler les points focaux, remplir fiche satisfaction.","Interne : Rapport satisfaction.","Qualité"
3,47,"Archivage des PVs partiels",2026-03-05,2026-03-05,1 day,,"Admin","<p>Classement.</p>","Mettre les PV signés dans le chrono physique et scanner sur serveur.","Interne","Admin"
2,48,"Sprint 3 : Logistique & Agence en Ligne",2026-03-09,2026-03-27,15 day,44FS,"Dev Web","<p>Front-End.</p>","Dev Sprint 3","Interne","Dev"
3,49,"Dev : Portail Client Web (Espace Abonné)",2026-03-09,2026-03-20,10 day,,"Web Dev","<p>React/Odoo.</p>","Développer l'interface client : Voir factures, Payer, Réclamation.","Interne","Web"
3,50,"Dev : Gestion Stocks Multi-Agences",2026-03-09,2026-03-18,8 day,,"Développeur 2","<p>Stock.</p>","Flux de demande de matériel agence -> siège, validation, livraison.","Interne","Dev"
3,51,"Dev : Synchro Mode Déconnecté (Offline)",2026-03-19,2026-03-25,5 day,,"Architecte","<p>Local Storage.</p>","Mécanisme de cache pour les caisses en cas de coupure internet.","Interne","Tech"
3,52,"Revue de Sprint 3 (Démo Client)",2026-03-27,2026-03-27,1 day,51FS,"Chef de Projet","<p>Finale Dév.</p>","Démo Portail Web et processus Stocks.","Client : PV Recette Partielle.","Agile"
1,53,"PHASE 4 : MIGRATION & RECETTE GLOBALE",2026-04-06,2026-05-01,20 day,52FS,"Equipe Tech","<p>Stabilisation.</p>","Validation Finale","Interne & Client","Sécurité"
2,54,"Migration des Données",2026-04-06,2026-04-17,10 day,,"Expert Data","<p>ETL.</p>","Reprise Données","Interne","Data"
3,55,"Exécution Scripts ETL (Extract-Transform-Load)",2026-04-06,2026-04-10,5 day,,"Dev Data","<p>Scripting.</p>","Charger les fichiers nettoyés dans Odoo Prod.","Interne","Tech"
3,56,"Vérification Intégrité Données (Comptable)",2026-04-13,2026-04-15,3 day,55FS,"CP, RAF","<p>Audit.</p>","Vérifier total balances agées, stock final vs stock théorique.","Interne","Audit"
3,57,"Signature PV Reprise des Données",2026-04-17,2026-04-17,1 day,56FS,"Chef de Projet","<p>Point de non retour.</p>","Faire valider par le client que les données migrées sont correctes.","Client : Signature PV.","Jalon"
2,58,"Recette (VABF) & Stabilisation",2026-04-20,2026-05-01,10 day,57FS,"Client","<p>VABF.</p>","Recette","Client","Qualité"
3,59,"Test de Montée en Charge (Stress Test)",2026-04-20,2026-04-22,3 day,,"DevOps","<p>Performance.</p>","Simuler 600 connexions simultanées. Optimiser PostgreSQL.","Interne : Rapport Perf.","Tech"
3,60,"Exécution Cahier de Recette (Commission)",2026-04-20,2026-04-28,7 day,,"Client","<p>Tests Utilisateurs.</p>","Le client teste tous les cas passants et non passants.","Client : PV Recette.","Qualité"
3,61,"Correction des Bugs (Ticketing)",2026-04-20,2026-04-30,9 day,,"Développeurs","<p>Fix.</p>","Correction au fil de l'eau des tickets remontés par la recette.","Interne","Maint"
3,62,"Signature PV Recette Technique",2026-05-01,2026-05-01,1 day,61FS,"Chef de Projet","<p>Validation Système.</p>","Validation formelle que le système est conforme aux SFD.","Client : Signature PV.","Jalon"
1,63,"PHASE 5 : DÉPLOIEMENT & CLÔTURE",2026-05-04,2026-06-16,32 day,62FS,"Chef de Projet","<p>Go Live.</p>","Mise en prod","Client","Clôture"
2,64,"Formation & Transfert",2026-05-04,2026-05-15,10 day,,"Formateurs","<p>Pédagogie.</p>","Formation","Client","RH"
3,65,"Formation Administrateurs (Technique)",2026-05-04,2026-05-06,3 day,,"Architecte","<p>Admin Sys.</p>","Former l'équipe DSI CAMWATER (Backup, Logs, Users).","Client : Feuille présence.","Formation"
3,66,"Formation Utilisateurs Clés (Train the Trainer)",2026-05-07,2026-05-13,5 day,,"Consultants","<p>Métier.</p>","Former les chefs d'agence et responsables métier.","Client : Feuille présence.","Formation"
3,67,"Remise des Manuels & Certificats",2026-05-14,2026-05-15,2 day,66FS,"Admin","<p>Livrables.</p>","Distribuer les guides PDF et les attestations de formation.","Client : Décharge.","Formation"
2,68,"Mise en Production (Go-Live)",2026-05-18,2026-05-29,10 day,67FS,"Equipe Technique","<p>Le Jour J.</p>","Déploiement","Client","Prod"
3,69,"Bascule DNS & Déploiement Prod",2026-05-18,2026-05-18,1 day,,"DevOps","<p>Switch.</p>","Poter l'URL officielle vers le nouveau serveur Odoo.","Interne","Tech"
3,70,"Assistance au démarrage (Sur site)",2026-05-19,2026-05-29,9 day,69FS,"Consultants","<p>Support.</p>","Présence physique pour aider les utilisateurs sur les premiers dossiers.","Client : Support.","Accompagnement"
2,71,"Clôture du Projet (ISO Phase 6)",2026-06-01,2026-06-16,12 day,70FS,"DG, CP","<p>Fin.</p>","Clôture","Interne & Client","Finances"
3,72,"Préparation Décompte Final",2026-06-01,2026-06-05,5 day,,"Responsable Financier","<p>Facturation.</p>","Calculer le solde du marché, incluant avenants éventuels.","Interne : Validation DG.","Finances"
3,73,"Enquête Satisfaction Finale & RETEX",2026-06-08,2026-06-10,3 day,,"Responsable Qualité","<p>Bilan.</p>","Questionnaire fin de projet + Réunion bilan interne.","Interne : Rapport RETEX.","Qualité"
3,74,"Signature PV Réception Provisoire",2026-06-16,2026-06-16,1 day,72FS,73FS,"DG, Client","<p>Officiel.</p>","Signature solennelle du PV mettant fin au mode projet.","Client : Signature PV.","Jalon"
